example_id                                             | status | run_time        |
./spec/cmdx/coercions/integer_spec.rb[1:1:3]           | passed | 0.0017 seconds  |
./spec/cmdx/coercions/rational_spec.rb[1:1:1]          | passed | 0.00003 seconds |
./spec/cmdx/coercions/rational_spec.rb[1:1:2]          | passed | 0.00004 seconds |
./spec/cmdx/coercions/rational_spec.rb[1:1:3]          | passed | 0.00003 seconds |
./spec/cmdx/coercions/rational_spec.rb[1:1:4]          | passed | 0.00026 seconds |
./spec/cmdx/coercions/string_spec.rb[1:1:1]            | passed | 0.00004 seconds |
./spec/cmdx/coercions/string_spec.rb[1:1:2]            | passed | 0.00003 seconds |
./spec/cmdx/coercions/symbol_spec.rb[1:1:1]            | passed | 0.00004 seconds |
./spec/cmdx/coercions/time_spec.rb[1:1:1]              | passed | 0.00004 seconds |
./spec/cmdx/coercions/time_spec.rb[1:1:2]              | passed | 0.00008 seconds |
./spec/cmdx/coercions/time_spec.rb[1:1:3]              | passed | 0.00005 seconds |
./spec/cmdx/coercions/time_spec.rb[1:1:4]              | passed | 0.00004 seconds |
./spec/cmdx/coercions/time_spec.rb[1:1:5]              | passed | 0.00026 seconds |
./spec/cmdx/configuration_spec.rb[1:1:1]               | passed | 0.00004 seconds |
./spec/cmdx/configuration_spec.rb[1:1:2]               | passed | 0.00004 seconds |
./spec/cmdx/configuration_spec.rb[1:2:1]               | passed | 0.00005 seconds |
./spec/cmdx/configuration_spec.rb[1:3:1]               | passed | 0.00004 seconds |
./spec/cmdx/configuration_spec.rb[1:4:1]               | passed | 0.00006 seconds |
./spec/cmdx/context_spec.rb[1:1:1]                     | passed | 0.00036 seconds |
./spec/cmdx/context_spec.rb[1:1:2]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:2:1]                     | passed | 0.00003 seconds |
./spec/cmdx/context_spec.rb[1:2:2]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:3:1]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:4:1]                     | passed | 0.00005 seconds |
./spec/cmdx/context_spec.rb[1:4:2]                     | passed | 0.00005 seconds |
./spec/cmdx/context_spec.rb[1:4:3]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:5:1]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:5:2]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:5:3]                     | passed | 0.00005 seconds |
./spec/cmdx/context_spec.rb[1:6:1]                     | passed | 0.0008 seconds  |
./spec/cmdx/context_spec.rb[1:7:1]                     | passed | 0.00049 seconds |
./spec/cmdx/context_spec.rb[1:8:1]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:8:2]                     | passed | 0.00004 seconds |
./spec/cmdx/context_spec.rb[1:9:1]                     | passed | 0.00005 seconds |
./spec/cmdx/deprecator_spec.rb[1:1:1]                  | passed | 0.00008 seconds |
./spec/cmdx/deprecator_spec.rb[1:1:2]                  | passed | 0.00006 seconds |
./spec/cmdx/deprecator_spec.rb[1:1:3]                  | passed | 0.00096 seconds |
./spec/cmdx/errors_spec.rb[1:1:1]                      | passed | 0.00083 seconds |
./spec/cmdx/errors_spec.rb[1:1:2]                      | passed | 0.00005 seconds |
./spec/cmdx/errors_spec.rb[1:2:1]                      | passed | 0.00004 seconds |
./spec/cmdx/errors_spec.rb[1:2:2]                      | passed | 0.00004 seconds |
./spec/cmdx/errors_spec.rb[1:3:1]                      | passed | 0.00006 seconds |
./spec/cmdx/errors_spec.rb[1:4:1]                      | passed | 0.00007 seconds |
./spec/cmdx/errors_spec.rb[1:5:1]                      | passed | 0.00004 seconds |
./spec/cmdx/errors_spec.rb[1:6:1]                      | passed | 0.00004 seconds |
./spec/cmdx/errors_spec.rb[1:7:1]                      | passed | 0.00005 seconds |
./spec/cmdx/identifier_spec.rb[1:1:1]                  | passed | 0.00044 seconds |
./spec/cmdx/identifier_spec.rb[1:1:2]                  | passed | 0.00014 seconds |
./spec/cmdx/log_formatters/json_spec.rb[1:1:1]         | passed | 0.00018 seconds |
./spec/cmdx/log_formatters/json_spec.rb[1:1:2]         | passed | 0.00007 seconds |
./spec/cmdx/log_formatters/key_value_spec.rb[1:1:1]    | passed | 0.00011 seconds |
./spec/cmdx/log_formatters/key_value_spec.rb[1:1:2]    | passed | 0.00004 seconds |
./spec/cmdx/log_formatters/line_spec.rb[1:1:1]         | passed | 0.00312 seconds |
./spec/cmdx/log_formatters/line_spec.rb[1:1:2]         | passed | 0.00005 seconds |
./spec/cmdx/log_formatters/logstash_spec.rb[1:1:1]     | passed | 0.00012 seconds |
./spec/cmdx/log_formatters/logstash_spec.rb[1:1:2]     | passed | 0.00037 seconds |
./spec/cmdx/log_formatters/raw_spec.rb[1:1:1]          | passed | 0.00011 seconds |
./spec/cmdx/log_formatters/raw_spec.rb[1:1:2]          | passed | 0.00004 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:1:1]         | passed | 0.00005 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:2:1]         | passed | 0.00006 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:2:2]         | passed | 0.00013 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:2:3]         | passed | 0.00013 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:3:1]         | passed | 0.00004 seconds |
./spec/cmdx/middleware_registry_spec.rb[1:4:1]         | passed | 0.00004 seconds |
./spec/cmdx/middlewares/correlate_spec.rb[1:1]         | passed | 0.00013 seconds |
./spec/cmdx/middlewares/correlate_spec.rb[1:2]         | passed | 0.00008 seconds |
./spec/cmdx/middlewares/correlate_spec.rb[1:3]         | passed | 0.00007 seconds |
./spec/cmdx/middlewares/runtime_tracker_spec.rb[1:1]   | passed | 0.01344 seconds |
./spec/cmdx/middlewares/timeout_spec.rb[1:1]           | passed | 0.00138 seconds |
./spec/cmdx/middlewares/timeout_spec.rb[1:2]           | passed | 0.05472 seconds |
./spec/cmdx/outcome_spec.rb[1:1:1]                     | passed | 0.00007 seconds |
./spec/cmdx/outcome_spec.rb[1:2:1]                     | passed | 0.00005 seconds |
./spec/cmdx/outcome_spec.rb[1:3:1]                     | passed | 0.00087 seconds |
./spec/cmdx/outcome_spec.rb[1:3:2]                     | passed | 0.00006 seconds |
./spec/cmdx/outcome_spec.rb[1:3:3]                     | passed | 0.00035 seconds |
./spec/cmdx/outcome_spec.rb[1:3:4]                     | passed | 0.00028 seconds |
./spec/cmdx/result_spec.rb[1:1:1]                      | passed | 0.00044 seconds |
./spec/cmdx/result_spec.rb[1:2:1]                      | passed | 0.00007 seconds |
./spec/cmdx/result_spec.rb[1:3:1]                      | passed | 0.00005 seconds |
./spec/cmdx/result_spec.rb[1:4:1]                      | passed | 0.00009 seconds |
./spec/cmdx/result_spec.rb[1:5:1]                      | passed | 0.00007 seconds |
./spec/cmdx/result_spec.rb[1:6:1]                      | passed | 0.00006 seconds |
./spec/cmdx/result_spec.rb[1:7:1]                      | passed | 0.00005 seconds |
./spec/cmdx/result_spec.rb[1:8:1]                      | passed | 0.00005 seconds |
